                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     54,                 1.4182,                 1.7338,                 1.6563,                0.34958,                0.39529,                0.34682,                0.13876,                 1.7708,                 2.3721,                   2.29,              0.0089506,              0.0089506,              0.0089506
                     55,                 1.3955,                 1.7168,                 1.6578,                0.25585,                0.40904,                0.25891,                0.11054,                 1.6372,                 2.3216,                 2.0558,              0.0089308,              0.0089308,              0.0089308
                     56,                 1.3749,                 1.7003,                 1.6193,                0.33037,                0.37765,                0.26573,                0.10117,                 1.8183,                 2.2914,                 2.2474,               0.008911,               0.008911,               0.008911
                     57,                 1.3835,                 1.6958,                 1.6665,                0.26499,                0.49647,                 0.2535,                0.10443,                 1.8403,                 2.0062,                 2.2941,              0.0088912,              0.0088912,              0.0088912
                     58,                 1.4062,                 1.6883,                 1.6742,                0.27534,                0.65176,                0.28308,                0.10709,                 1.9978,                 2.1244,                 2.3975,              0.0088714,              0.0088714,              0.0088714
                     59,                 1.3417,                 1.6548,                 1.6241,                0.32718,                0.55818,                0.32566,                0.15135,                 1.8345,                 2.0554,                 2.2697,              0.0088516,              0.0088516,              0.0088516
                     60,                 1.4108,                 1.6827,                 1.6491,                0.24877,                0.47529,                0.24665,                0.11964,                 1.8915,                 2.2013,                 2.3197,              0.0088318,              0.0088318,              0.0088318
                     61,                 1.3742,                 1.6749,                 1.6303,                0.24085,                0.35882,                0.23458,                0.09495,                  1.902,                 2.2346,                   2.31,               0.008812,               0.008812,               0.008812
                     62,                  1.344,                 1.6052,                 1.6092,                 0.3832,                0.32247,                0.33539,                0.16738,                 1.6382,                  2.027,                 2.2341,              0.0087922,              0.0087922,              0.0087922
                     63,                 1.3598,                 1.5864,                 1.6183,                0.74598,                0.42313,                0.49027,                0.21383,                 1.8524,                 1.9925,                 2.4608,              0.0087724,              0.0087724,              0.0087724
                     64,                 1.3554,                 1.5906,                 1.6249,                0.52325,                0.47765,                0.45739,                0.22611,                 1.8067,                  1.985,                 2.3607,              0.0087526,              0.0087526,              0.0087526
                     65,                 1.3573,                 1.5733,                 1.5876,                0.14307,                0.48588,                 0.1414,                0.05449,                 1.9684,                 2.9222,                 2.3783,              0.0087328,              0.0087328,              0.0087328
                     66,                 1.3731,                  1.562,                 1.6304,                0.08405,                0.37898,                0.10043,                0.05469,                  2.141,                 3.4088,                 2.5362,               0.008713,               0.008713,               0.008713
                     67,                 1.3609,                 1.5796,                 1.6084,                0.19314,                0.44471,                0.23638,                 0.1163,                 1.9167,                 2.4909,                 2.4106,              0.0086932,              0.0086932,              0.0086932
                     68,                 1.3314,                 1.6038,                 1.5926,                0.28253,                0.58353,                0.35319,                0.17001,                 1.6293,                 2.1413,                  2.179,              0.0086734,              0.0086734,              0.0086734
                     69,                 1.3682,                 1.5849,                 1.6288,                0.31271,                0.65412,                0.37331,                0.16597,                  1.509,                 2.0459,                 1.9434,              0.0086536,              0.0086536,              0.0086536
                     70,                 1.3691,                 1.6382,                 1.6421,                0.30075,                0.45647,                0.26135,                0.12822,                  1.771,                 2.0661,                 2.2144,              0.0086338,              0.0086338,              0.0086338
                     71,                 1.3237,                 1.5385,                  1.561,                0.30584,                0.42706,                0.28619,                0.13319,                 1.6756,                 2.2153,                 2.0727,               0.008614,               0.008614,               0.008614
                     72,                 1.3303,                 1.6043,                  1.561,                0.27459,                0.56319,                0.30752,                0.14016,                 1.6679,                 2.5131,                 2.0305,              0.0085942,              0.0085942,              0.0085942
                     73,                 1.3417,                 1.5745,                 1.5712,                0.47192,                0.58353,                0.46663,                0.20563,                  1.708,                 1.9629,                 2.0717,              0.0085744,              0.0085744,              0.0085744
                     74,                 1.2978,                 1.5317,                 1.5803,                0.36318,                0.52471,                0.32211,                0.14001,                 1.9311,                 2.1398,                  2.266,              0.0085546,              0.0085546,              0.0085546
                     75,                 1.3436,                 1.5736,                  1.599,                0.35894,                0.61294,                0.38916,                0.16383,                  1.857,                 1.9618,                 2.1257,              0.0085348,              0.0085348,              0.0085348
